Company,DateAdded,DateAddedM,DateAddedD,DateAddedY,ReplacedBy,DateRemoved,DateRemovedM,DateRemovedD,DateRemovedY,DateAcquired,DateAcquiredM,DateAcquiredD,DateAcquiredY,Acquired,DateAbsorbed,DateAbsorbedM,DateAbsorbedD,DateAbsorbedY,AbsorbedBy,DateMerged1,DateMerged1M,DateMerged1D,DateMerged1Y,MergedWith1,MergedWith2,DateMerged2,DateMerged2M,DateMerged2D,DateMerged2Y,DateReorganized,DateReorganizedM,DateReorganizedD,DateReorganizedY,ReorganizedAs,Note,DateNameChange1,DateNameChange1M,DateNameChange1D,DateNameChange1Y,NameChanged1,DateNameChange2,DateNameChange2M,DateNameChange2D,DateNameChange2Y,NameChanged2,DateNameChange3,DateNameChange3M,DateNameChange3D,DateNameChange3Y,NameChanged3,DaysOn
The American Cotton Oil Company ,5$26$1896,5,26,1896,Amalgamated Copper Mining Company,4$1$1901,4,1,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770
Pacific Mail Steamship Company,11$10$1896,11,10,1896,United States Steel Corporation (Preferred),4$1$1901,4,1,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602
American Steel & Wire Co.,4$21$1899,4,21,1899,American Smelting & Refining Company,4$1$1901,4,1,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710
Federal Steel Company,4$21$1899,4,21,1899,International Paper Company (Preferred),4$1$1901,4,1,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710
General Electric Company,4$21$1899,4,21,1899,United States Steel Corporation,4$1$1901,4,1,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710
Continental Tobacco Company,4$21$1899,4,21,1899,American Car and Foundry Company,7$1$1901,7,1,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801
International Paper Company (Preferred),4$1$1901,4,1,1901,Colorado Fuel and Iron Company,7$1$1901,7,1,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
The United States Leather Company (Preferred) ,5$26$1896,5,26,1896,United States Rubber Company (First Preferred),4$1$1905,4,1,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3231
"Tennessee Coal, Iron and Railroad Company ",5$26$1896,5,26,1896,General Electric Company,11$7$1907,11,7,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4181
Colorado Fuel and Iron Company,7$1$1901,7,1,1901,Central Leather Company,5$12$1912,5,12,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3968
United States Rubber Company (First Preferred),4$1$1905,4,1,1905,General Motors Corporation,3$16$1915,3,16,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3636
Chicago Gas Light and Coke Company ,5$26$1896,5,26,1896,,10$4$1916,10,4,1916,,,,,,3$24$1898,3,24,1898,Peoples Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435
National Lead Company ,5$26$1896,5,26,1896,,10$4$1916,10,4,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435
United States Steel Corporation (Preferred),4$1$1901,4,1,1901,,10$4$1916,10,4,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5665
General Motors Corporation,3$16$1915,3,16,1915,,10$4$1916,10,4,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568
The American Beet Sugar,10$4$1916,10,4,1916,Corn Products Refining Company,3$1$1920,3,1,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244
Central Leather Company,5$12$1912,5,12,1912,American Tobacco Company (B shares),1$22$1924,1,22,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4272
B.F. Goodrich Corporation,10$4$1916,10,4,1916,"Mack Trucks, Inc",1$22$1924,1,22,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666
The Texas Company,10$4$1916,10,4,1916,Sears Roebuck & Company,1$22$1924,1,22,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666
Corn Products Refining Company,3$1$1920,3,1,1920,E.I. du Pont de Nemours & Company,1$22$1924,1,22,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422
Utah Copper Company,10$4$1916,10,4,1916,Standard Oil Co. (California),2$6$1924,2,6,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2681
Republic Iron and Steel Company,10$4$1916,10,4,1916,F. W. Woolworth Company,5$12$1924,5,12,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2777
Amalgamated Copper Mining Company,4$1$1901,4,1,1901,General Motors Corporation,8$31$1925,8,31,1925,,,,,,,,,,,,,,,,,,,,,7$29$1915,7,29,1915,Anaconda Copper Mining Company,,,,,,,,,,,,,,,,,8918
The Baldwin Locomotive Works,10$4$1916,10,4,1916,International Harvester Company,8$31$1925,8,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3253
Studebaker Corporation,10$4$1916,10,4,1916,United States Realty and Construction Company,8$31$1925,8,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3253
E.I. du Pont de Nemours & Company,1$22$1924,1,22,1924,Kennecott Mines Company,8$31$1925,8,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587
Standard Oil Co. (California),2$6$1924,2,6,1924,The Texas Company,8$31$1925,8,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572
Westinghouse Electric Corporation,10$4$1916,10,4,1916,Paramount Famous Lasky Corporation,12$7$1925,12,7,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3351
"Mack Trucks, Inc",1$22$1924,1,22,1924,"Mack Trucks, Inc. (stock dividend)",12$7$1925,12,7,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685
United States Realty and Construction Company,8$31$1925,8,31,1925,Allied Chemical and Dye Corporation,12$7$1925,12,7,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
"Mack Trucks, Inc. (stock dividend)",12$7$1925,12,7,1925,"Mack Trucks, Inc. (ex-stock dividend)",12$31$1925,12,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
Kennecott Mines Company,8$31$1925,8,31,1925,Remington Typewriter Company,12$31$1925,12,31,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
Remington Typewriter Company,12$31$1925,12,31,1925,United Drug Stores,3$16$1927,3,16,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440
United States Rubber Company,9$1$1898,9,1,1898,B.F. Goodrich Corporation,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10987
American Car and Foundry Company,7$1$1901,7,1,1901,Atlantic Refining Company,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9954
American Locomotive Company,10$4$1916,10,4,1916,Bethlehem Steel Corporation,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380
American Telephone and Telegraph Company,10$4$1916,10,4,1916,Chrysler Corporation,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380
Western Union Company,10$4$1916,10,4,1916,"International Nickel Company, Ltd.",10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380
United Drug Stores,3$16$1927,3,16,1927,General Railway Signal Company,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565
Victor Talking Machine Company,10$1$1928,10,1,1928,National Cash Register Company,1$8$1929,1,8,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
North American Company,10$1$1928,10,1,1928,Johns-Manville Corporation,1$29$1930,1,29,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485
The American Sugar Refining Company ,5$26$1896,5,26,1896,"Borden, Inc.",7$18$1930,7,18,1930,,,,,,,,,,,,,,,,,,,,,,,,,,Only precursor,,,,,,,,,,,,,,,,12470
American Tobacco Company (B shares),1$22$1924,1,22,1924,Eastman Kodak Company,7$18$1930,7,18,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2369
