Company,DateAdded,ReplacedBy,DateRemoved,AcquireDate,Acquired,DateAbsorbed,AbsorbedBy,DateMerged1,MergedWith1,DateMerged2,MergedWith2,DateReorganized,ReorganizedAs,Note,DateNameChange1,NameChanged1,DateNameChange2,NameChanged2,DateNameChange3,NameChanged3
American Steel & Wire Co.,4/21/1899,American Smelting & Refining Company,4/1/1901,,,,,,,,,,,,,,,,,
Federal Steel Company,4/21/1899,International Paper Company (Preferred),4/1/1901,,,,,,,,,,,,,,,,,
Continental Tobacco Company,4/21/1899,American Car and Foundry Company,7/1/1901,,,,,,,,,,,,,,,,,
United States Cordage Company (Preferred),8/26/1896,Standard Rope & Twine Co.,12/23/1896,,,,,,,,,,,,,,,,,
Standard Rope & Twine Co.,12/23/1896,General Electric Company,4/21/1899,,,,,,,,,,,,,,,,,
The American Cotton Oil Company ,5/26/1896,Amalgamated Copper Mining Company,4/1/1901,,,,,,,,,,,,,,,,,
The United States Leather Company (Preferred) ,5/26/1896,United States Rubber Company (First Preferred),4/1/1905,,,,,,,,,,,,,,,,,
"Tennessee Coal, Iron and Railroad Company ",5/26/1896,General Electric Company,11/7/1907,,,,,,,,,,,,,,,,,
Chicago Gas Light and Coke Company ,5/26/1896,,10/4/1916,,,3/24/1898,Peoples Gas,,,,,,,,,,,,,
National Lead Company ,5/26/1896,,10/4/1916,,,,,,,,,,,,,,,,,
The American Sugar Refining Company ,5/26/1896,"Borden, Inc.",7/18/1930,,,,,,,,,,,Only precursor,,,,,,
American Tobacco Company ,5/26/1896,Continental Tobacco Company,4/21/1899,,,,,,,,,,,,,,,,,
Distilling & Cattle Feeding Co. ,5/26/1896,American Steel & Wire Co.,4/21/1899,,,,,,,,,,,,8/26/1896,American Spirits Manufacturing Co.,,,,
The Laclede Gas Company ,5/26/1896,Federal Steel Company,4/21/1899,,,,,,,,,,,,,,,,,
North American Company ,5/26/1896,United States Cordage Company,8/26/1896,,,,,,,,,,,,,,,,,
United States Rubber Company ,5/26/1896,Pacific Mail Steamship Company,11/10/1896,,,,,,,,,,,,,,,,,
General Electric Company ,5/26/1896,United States Rubber Company,9/1/1898,,,,,,,,,,,,,,,,,
Pacific Mail Steamship Company,11/10/1896,United States Steel Corporation (Preferred),4/1/1901,,,,,,,,,,,,,,,,,
United States Rubber Company,9/1/1898,B.F. Goodrich Corporation,10/1/1928,,,,,,,,,,,,,,,,,
